order_id,customer_id,order_date,status,region_code
1,458,2024-12-19 03:47:05,PLACED,EAST
2,Unknown,2025-09-03 00:00:00,RETURNED,SOUTH
3,332,2026-04-17 04:29:55,SHIPPED,EAST
4,263,2026-01-09 00:00:00,PLACED,WEST
5,332,2026-05-25 22:29:20,PLACED,SOUTH
6,413,2026-08-02 07:44:10,DELIVERED,WEST
7,437,2026-06-03 14:24:17,DELIVERED,SOUTH
8,347,2025-06-15 12:55:25,RETURNED,WEST
9,4,2025-11-26 16:16:38,DELIVERED,EAST
10,56,2026-07-04 20:54:30,DELIVERED,EAST
11,442,2026-12-07 09:44:03,DELIVERED,SOUTH
12,392,2024-06-09 11:55:38,PLACED,WEST
13,349,2026-12-02 14:33:28,PLACED,WEST
14,133,2025-12-27 08:16:56,CANCELLED,WEST
15,299,2024-08-11 21:41:49,RETURNED,SOUTH
16,366,2024-07-30 22:17:27,RETURNED,WEST
17,344,2025-04-07 04:04:57,DELIVERED,SOUTH
18,449,2026-01-20 06:53:50,DELIVERED,NORTH
19,380,2025-03-27 03:07:36,RETURNED,SOUTH
20,461,2024-10-08 21:45:21,PLACED,SOUTH
21,382,2024-09-18 11:00:42,CANCELLED,EAST
22,300,2024-07-09 08:56:46,PLACED,WEST
23,325,2024-08-23 15:08:02,RETURNED,NORTH
24,100,2024-11-27 17:31:05,CANCELLED,EAST
25,446,2026-03-21 08:44:26,SHIPPED,SOUTH
26,292,2025-01-24 03:24:33,CANCELLED,SOUTH
27,367,2025-09-18 22:56:51,PLACED,WEST
28,91,2024-05-09 04:38:22,PLACED,NORTH
29,108,2025-02-10 01:34:40,SHIPPED,SOUTH
30,391,2026-11-04 15:35:53,SHIPPED,WEST
31,207,2025-05-01 07:07:33,CANCELLED,WEST
32,Unknown,2026-06-20 01:31:28,DELIVERED,NORTH
33,388,2025-01-29 09:03:04,SHIPPED,NORTH
34,321,2025-05-25 02:19:46,SHIPPED,EAST
35,53,2025-09-05 20:57:21,RETURNED,EAST
36,422,2025-06-27 00:00:00,DELIVERED,WEST
37,306,2025-11-13 23:36:18,CANCELLED,SOUTH
38,462,2025-05-22 14:57:41,SHIPPED,SOUTH
39,471,2025-06-13 19:40:32,PLACED,SOUTH
40,68,2025-03-15 05:42:23,PLACED,SOUTH
41,365,2024-07-25 14:22:27,PLACED,WEST
42,131,2025-11-05 00:20:41,RETURNED,NORTH
43,25,2025-12-17 10:42:07,PLACED,NORTH
44,214,2024-12-10 08:52:59,PLACED,EAST
45,79,2025-08-31 21:32:21,PLACED,EAST
46,52,2024-07-17 01:28:04,DELIVERED,SOUTH
47,461,2025-11-22 16:29:25,RETURNED,NORTH
48,402,2026-01-22 22:36:07,SHIPPED,SOUTH
49,426,2025-04-11 18:22:17,SHIPPED,EAST
50,152,2024-08-30 14:20:16,RETURNED,WEST
51,353,2026-02-19 15:37:50,DELIVERED,SOUTH
52,Unknown,2026-11-02 21:02:20,PLACED,WEST
53,47,2025-10-10 08:01:42,PLACED,NORTH
54,330,2024-08-16 19:59:58,DELIVERED,EAST
55,52,2026-07-01 20:53:30,PLACED,EAST
56,347,2026-02-05 08:03:11,PLACED,NORTH
57,456,2024-09-06 00:00:00,SHIPPED,SOUTH
58,458,2025-04-16 07:31:03,RETURNED,EAST
59,48,2026-03-07 07:34:04,DELIVERED,SOUTH
60,205,2025-07-08 01:03:50,DELIVERED,WEST
61,245,2024-02-10 22:00:49,SHIPPED,NORTH
62,372,2025-02-22 14:26:58,SHIPPED,NORTH
63,303,2026-03-15 16:13:55,RETURNED,WEST
64,195,2025-12-27 05:12:31,RETURNED,NORTH
65,451,2025-03-03 13:05:17,SHIPPED,WEST
66,58,2025-10-26 14:42:38,CANCELLED,NORTH
67,336,2024-09-17 16:04:41,RETURNED,SOUTH
68,343,2025-02-16 03:22:09,RETURNED,NORTH
69,373,2026-02-26 21:14:58,DELIVERED,WEST
70,424,2026-02-07 06:16:26,RETURNED,NORTH
71,Unknown,2025-06-17 10:22:43,RETURNED,WEST
72,446,2025-04-05 17:34:05,CANCELLED,EAST
73,497,2025-05-15 08:56:55,RETURNED,SOUTH
74,194,2026-12-04 00:58:32,SHIPPED,NORTH
75,411,2025-07-12 16:16:35,PLACED,WEST
76,61,2024-05-08 10:00:52,PLACED,NORTH
77,19,2025-07-15 15:16:28,PLACED,NORTH
78,494,2024-10-11 21:35:04,DELIVERED,SOUTH
79,234,2025-08-30 20:03:49,DELIVERED,NORTH
80,433,2024-12-30 06:05:53,RETURNED,WEST
81,187,2024-10-26 09:50:18,PLACED,NORTH
82,114,2026-02-12 00:00:00,DELIVERED,EAST
83,192,2025-12-05 04:08:00,PLACED,SOUTH
84,421,2026-03-23 08:22:52,CANCELLED,NORTH
85,101,2026-03-23 21:41:40,CANCELLED,SOUTH
86,401,2026-03-05 06:43:28,DELIVERED,NORTH
87,24,2025-09-09 08:32:43,RETURNED,NORTH
88,231,2025-02-26 14:18:03,RETURNED,SOUTH
89,3,2025-11-16 22:58:18,PLACED,WEST
90,248,2024-01-11 09:15:59,SHIPPED,SOUTH
91,66,2025-02-28 23:40:47,RETURNED,EAST
92,197,2025-12-20 13:05:12,RETURNED,SOUTH
93,494,2026-01-06 09:58:27,DELIVERED,WEST
94,71,2026-06-22 12:50:51,RETURNED,EAST
95,281,2026-03-21 23:41:49,RETURNED,SOUTH
96,320,2026-05-17 00:08:45,DELIVERED,SOUTH
97,333,2026-01-29 23:05:57,SHIPPED,EAST
98,390,2025-11-27 17:59:32,CANCELLED,WEST
99,458,2025-04-28 07:09:38,DELIVERED,WEST
100,268,2024-07-21 03:21:31,CANCELLED,SOUTH
101,29,2025-09-15 09:56:33,SHIPPED,EAST
102,75,2026-05-22 22:20:28,DELIVERED,SOUTH
103,17,2025-09-16 14:45:14,CANCELLED,NORTH
104,346,2024-10-30 06:54:13,SHIPPED,WEST
105,402,2024-10-16 04:46:25,DELIVERED,NORTH
106,199,2024-08-13 22:12:42,DELIVERED,NORTH
107,Unknown,2024-07-16 09:16:00,RETURNED,WEST
108,467,2025-09-30 07:45:08,DELIVERED,SOUTH
109,494,2025-10-18 21:57:25,CANCELLED,SOUTH
110,39,2025-05-14 13:43:09,SHIPPED,NORTH
111,220,2025-02-09 16:44:37,DELIVERED,SOUTH
112,434,2025-10-09 18:07:04,DELIVERED,WEST
113,80,2024-09-16 00:00:00,DELIVERED,NORTH
114,321,2025-06-03 03:21:31,DELIVERED,WEST
115,282,2024-12-22 15:10:24,DELIVERED,SOUTH
116,267,2026-02-13 16:45:47,RETURNED,SOUTH
117,275,2026-08-02 08:46:11,DELIVERED,SOUTH
118,340,2026-06-14 06:49:44,DELIVERED,EAST
119,386,2026-01-27 07:57:24,CANCELLED,NORTH
120,178,2025-05-04 13:21:47,RETURNED,SOUTH
121,350,2024-12-23 22:33:59,CANCELLED,NORTH
122,277,2025-05-28 23:56:28,PLACED,EAST
123,261,2026-06-15 21:38:02,PLACED,EAST
124,99,2025-11-26 04:32:23,PLACED,NORTH
125,490,2026-04-05 19:50:50,RETURNED,NORTH
126,108,2025-08-14 14:10:43,SHIPPED,WEST
127,106,2024-10-31 03:03:35,CANCELLED,NORTH
128,79,2024-11-14 00:00:00,DELIVERED,NORTH
129,28,2024-02-12 09:22:36,DELIVERED,NORTH
130,117,2024-12-30 23:17:23,CANCELLED,WEST
131,208,2025-03-11 15:04:20,PLACED,WEST
132,274,2026-04-21 00:00:00,RETURNED,NORTH
133,300,2025-01-24 00:00:00,PLACED,EAST
134,55,2024-10-12 10:00:25,DELIVERED,NORTH
135,475,2024-09-10 12:13:22,CANCELLED,NORTH
136,274,2024-11-30 08:15:42,CANCELLED,EAST
137,74,2025-12-15 15:26:19,DELIVERED,NORTH
138,285,2026-03-25 14:14:51,PLACED,NORTH
139,202,2025-09-26 02:36:18,PLACED,EAST
140,380,2026-05-05 10:36:59,DELIVERED,SOUTH
141,331,2024-08-23 17:22:31,SHIPPED,SOUTH
142,316,2026-04-05 18:31:16,SHIPPED,NORTH
143,410,2026-02-15 19:56:16,PLACED,WEST
144,38,2026-06-07 16:08:16,PLACED,EAST
145,372,2025-11-09 18:49:48,DELIVERED,EAST
146,336,2025-05-07 18:06:37,DELIVERED,NORTH
147,163,2025-11-25 05:06:28,DELIVERED,EAST
148,79,2025-12-09 09:59:41,DELIVERED,EAST
149,87,2024-09-07 00:00:00,SHIPPED,SOUTH
150,329,2025-02-23 05:39:44,DELIVERED,SOUTH
151,170,2025-12-16 04:37:28,CANCELLED,WEST
152,157,2024-02-09 19:14:12,PLACED,SOUTH
153,42,2025-01-23 04:39:35,SHIPPED,SOUTH
154,454,2024-09-26 18:07:45,PLACED,NORTH
155,324,2024-12-12 00:00:00,RETURNED,WEST
156,109,2026-01-27 01:28:04,RETURNED,EAST
157,277,2025-06-10 10:35:28,SHIPPED,EAST
158,457,2025-07-25 21:23:28,DELIVERED,SOUTH
159,262,2025-03-26 11:00:44,DELIVERED,NORTH
160,435,2025-04-15 21:02:43,RETURNED,SOUTH
161,72,2024-10-20 01:36:26,SHIPPED,SOUTH
162,248,2025-12-15 21:21:36,PLACED,SOUTH
163,119,2025-03-12 14:24:21,DELIVERED,SOUTH
164,Unknown,2025-10-01 15:30:47,DELIVERED,WEST
165,233,2024-09-28 04:28:44,PLACED,EAST
166,496,2025-02-18 22:50:43,DELIVERED,EAST
167,292,2025-05-11 16:06:54,CANCELLED,EAST
168,460,2024-04-09 16:50:08,RETURNED,EAST
169,465,2026-11-06 14:55:50,CANCELLED,EAST
170,177,2024-09-12 18:34:43,CANCELLED,NORTH
171,72,2025-03-16 07:27:47,SHIPPED,NORTH
172,144,2025-07-24 20:36:49,SHIPPED,SOUTH
173,368,2025-06-27 12:09:13,SHIPPED,WEST
174,369,2025-03-24 12:19:06,CANCELLED,WEST
175,83,2025-03-11 04:57:34,CANCELLED,NORTH
176,66,2025-06-12 16:01:32,SHIPPED,SOUTH
177,21,2025-06-03 21:42:28,SHIPPED,NORTH
178,473,2026-02-01 02:30:01,CANCELLED,NORTH
179,373,2025-09-10 05:13:14,DELIVERED,NORTH
180,311,2024-07-11 20:21:06,CANCELLED,SOUTH
181,211,2025-09-24 18:09:26,RETURNED,SOUTH
182,262,2025-09-25 18:34:31,DELIVERED,WEST
183,36,2025-04-21 14:09:14,CANCELLED,SOUTH
184,104,2026-03-31 20:07:07,RETURNED,WEST
185,311,2025-03-15 04:22:52,CANCELLED,NORTH
186,273,2025-10-06 03:43:56,PLACED,NORTH
187,67,2024-11-20 11:10:20,RETURNED,NORTH
188,397,2024-07-16 05:34:36,CANCELLED,WEST
189,23,2025-12-03 18:15:02,CANCELLED,SOUTH
190,247,2025-01-19 16:32:27,CANCELLED,EAST
191,380,2026-03-14 17:16:11,RETURNED,NORTH
192,131,2024-12-31 13:02:32,SHIPPED,NORTH
193,449,2026-01-16 15:51:28,DELIVERED,SOUTH
194,Unknown,2026-07-02 02:40:39,PLACED,NORTH
195,193,2025-11-22 05:36:00,DELIVERED,WEST
196,80,2025-06-16 05:26:44,RETURNED,EAST
197,275,2025-12-02 09:11:23,DELIVERED,EAST
198,204,2026-04-26 00:17:25,CANCELLED,WEST
199,287,2025-04-17 16:48:31,DELIVERED,EAST
200,397,2024-10-24 19:08:45,SHIPPED,NORTH
201,229,2025-12-22 07:47:47,SHIPPED,NORTH
202,206,2026-01-02 19:06:25,RETURNED,NORTH
203,494,2025-03-27 00:17:06,PLACED,SOUTH
204,308,2026-05-25 08:28:54,PLACED,EAST
205,41,2025-07-20 06:29:39,CANCELLED,WEST
206,267,2025-06-07 23:37:22,RETURNED,NORTH
207,420,2025-06-23 09:34:41,CANCELLED,WEST
208,Unknown,2025-04-17 02:55:55,RETURNED,EAST
209,402,2026-06-03 06:12:24,RETURNED,SOUTH
210,346,2025-03-06 00:00:00,SHIPPED,NORTH
211,45,2025-07-25 17:18:30,CANCELLED,EAST
212,208,2025-09-13 23:24:43,RETURNED,NORTH
213,36,2024-05-10 00:17:28,RETURNED,EAST
214,287,2024-11-26 00:05:49,DELIVERED,EAST
215,142,2025-11-25 21:27:28,SHIPPED,WEST
216,295,2025-10-26 00:00:00,SHIPPED,WEST
217,287,2024-09-14 03:36:15,DELIVERED,EAST
218,412,2026-04-27 07:39:45,DELIVERED,EAST
219,495,2025-02-15 10:33:50,CANCELLED,SOUTH
220,493,2026-10-05 11:05:11,CANCELLED,NORTH
221,133,2026-04-15 09:31:50,SHIPPED,SOUTH
222,212,2024-10-29 05:19:26,RETURNED,NORTH
223,135,2026-04-06 18:29:05,PLACED,WEST
224,421,2025-03-09 20:04:18,RETURNED,SOUTH
225,182,2024-12-12 01:15:37,RETURNED,EAST
226,383,2025-01-02 22:33:12,SHIPPED,WEST
227,121,2026-02-02 05:45:59,DELIVERED,SOUTH
228,428,2026-05-31 22:00:04,RETURNED,EAST
229,55,2025-11-11 04:31:35,PLACED,WEST
230,392,2024-09-09 20:51:57,PLACED,WEST
231,162,2026-01-28 11:41:44,RETURNED,EAST
232,392,2024-09-09 01:03:39,DELIVERED,WEST
233,296,2026-05-06 09:32:59,RETURNED,WEST
234,277,2024-07-26 00:00:00,DELIVERED,WEST
235,398,2026-03-05 08:57:30,PLACED,WEST
236,5,2025-08-10 00:00:00,SHIPPED,WEST
237,167,2025-11-15 01:52:30,DELIVERED,SOUTH
238,122,2024-05-08 17:00:23,RETURNED,EAST
239,256,2026-04-04 16:15:22,CANCELLED,EAST
240,206,2025-07-10 10:43:43,SHIPPED,SOUTH
241,352,2025-05-10 02:59:48,PLACED,EAST
242,285,2025-05-23 03:45:27,CANCELLED,SOUTH
243,492,2026-01-03 22:26:09,CANCELLED,NORTH
244,256,2025-10-13 18:34:40,RETURNED,EAST
245,154,2024-12-24 17:39:01,RETURNED,NORTH
246,354,2026-06-16 10:13:37,SHIPPED,EAST
247,323,2024-09-08 22:49:37,DELIVERED,EAST
248,287,2025-09-13 21:57:40,DELIVERED,EAST
249,Unknown,2025-01-30 21:44:39,RETURNED,SOUTH
250,333,2025-07-09 14:30:22,SHIPPED,EAST
251,345,2026-06-06 20:36:34,CANCELLED,NORTH
252,147,2025-04-09 15:48:52,SHIPPED,SOUTH
253,476,2025-07-14 04:09:33,RETURNED,WEST
254,37,2025-02-12 09:14:06,DELIVERED,SOUTH
255,335,2026-06-03 14:13:40,DELIVERED,WEST
256,228,2024-04-11 22:13:24,DELIVERED,WEST
257,95,2025-04-22 14:51:26,SHIPPED,SOUTH
258,482,2025-05-13 08:12:12,PLACED,SOUTH
259,53,2025-01-01 22:14:29,CANCELLED,NORTH
260,Unknown,2026-04-06 21:06:14,PLACED,NORTH
261,80,2026-04-03 05:19:37,CANCELLED,EAST
262,378,2025-10-13 10:27:30,SHIPPED,SOUTH
263,88,2026-02-01 00:00:00,DELIVERED,EAST
264,240,2026-09-05 06:12:06,RETURNED,EAST
265,70,2025-02-23 12:07:17,RETURNED,SOUTH
266,234,2024-10-24 11:13:53,RETURNED,WEST
267,328,2025-08-07 10:09:39,DELIVERED,WEST
268,413,2025-05-08 17:07:00,DELIVERED,EAST
269,80,2025-12-08 22:16:23,PLACED,SOUTH
270,241,2024-09-20 19:33:11,CANCELLED,WEST
271,393,2025-05-16 16:06:55,DELIVERED,SOUTH
272,281,2025-04-21 02:26:58,CANCELLED,WEST
